Date,Open,High,Low,Close,Adj Close,Volume
02-01-2015,22.23,22.27,22.059999,22.1,19.254818,2210300
05-01-2015,22.120001,22.15,21.85,21.889999,19.071854,2444900
06-01-2015,21.969999,22.059999,21.74,21.799999,18.993441,2265900
07-01-2015,21.82,22.01,21.780001,22,19.167692,1655400
08-01-2015,22.129999,22.34,22.110001,22.290001,19.420359,879900
09-01-2015,22.620001,22.65,22.469999,22.5,19.603321,1897100
12-01-2015,22.379999,22.379999,22.190001,22.24,19.376793,1508300
13-01-2015,22.280001,22.4,22.059999,22.24,19.376793,1870100
14-01-2015,21.9,21.99,21.76,21.940001,19.115416,2055800
15-01-2015,22.209999,22.25,21.99,22.07,19.22868,3659900
16-01-2015,21.889999,22.33,21.889999,22.32,19.446495,1953200
20-01-2015,22.07,22.110001,21.870001,22.030001,19.193832,1283700
21-01-2015,22.309999,22.440001,22.139999,22.23,19.36808,2670400
22-01-2015,22.26,22.370001,22.18,22.219999,19.359371,2110700
23-01-2015,22.059999,22.129999,21.959999,22,19.167692,1943600
26-01-2015,22.049999,22.129999,21.959999,22.08,19.237394,1135200
27-01-2015,22.15,22.209999,22.07,22.120001,19.272243,1300900
28-01-2015,22.41,22.42,21.959999,22,19.167692,2074500
29-01-2015,21.969999,22.07,21.799999,22.049999,19.211252,1584800
30-01-2015,21.870001,22.1,21.860001,21.92,19.097992,1610900
02-02-2015,22.27,22.4,22.209999,22.370001,19.490059,1886300
03-02-2015,22.450001,23.02,22.43,22.85,19.908262,2460900
04-02-2015,22.809999,22.91,22.690001,22.73,19.803711,3222600
05-02-2015,22.91,23.15,22.91,23.139999,20.160929,1437000
06-02-2015,22.99,23.1,22.92,22.99,20.030237,2338600
09-02-2015,23.02,23.15,22.940001,22.959999,20.004099,2138900
10-02-2015,22.940001,23.01,22.83,22.950001,19.995392,1193600
11-02-2015,22.67,22.67,22.48,22.610001,19.69916,1672900
12-02-2015,22.540001,22.83,22.530001,22.75,19.821138,1859300
13-02-2015,23.15,23.309999,23.129999,23.23,20.23934,1803000
17-02-2015,23.24,23.389999,23.200001,23.379999,20.370028,1798700
18-02-2015,23.360001,23.57,23.33,23.49,20.465866,1554100
19-02-2015,23.370001,23.530001,23.370001,23.389999,20.37874,1434900
