Date,Open,High,Low,Close,Adj Close,Volume
02-01-2015,28.620001,28.82,28.530001,28.690001,27.024069,2421600
05-01-2015,28.42,28.540001,27.77,27.92,26.298779,3434400
06-01-2015,27.91,27.91,27.35,27.51,25.912586,1992700
07-01-2015,27.620001,27.85,27.459999,27.540001,25.940847,2172200
08-01-2015,27.73,28.02,27.73,27.879999,26.261103,1524800
09-01-2015,27.870001,27.91,27.559999,27.639999,26.035038,2367100
12-01-2015,27.42,27.459999,27.040001,27.200001,25.620586,2488700
13-01-2015,27.299999,27.48,26.799999,27.08,25.507553,1601200
14-01-2015,26.82,26.92,26.41,26.91,25.347425,3654800
15-01-2015,27.190001,27.190001,26.75,26.76,25.206137,2980300
16-01-2015,26.610001,27.290001,26.610001,27.26,25.677103,2104800
20-01-2015,27.25,27.27,26.92,26.940001,25.375685,1626200
21-01-2015,27.02,27.190001,26.84,27.02,25.45104,2590700
22-01-2015,27.02,27.4,27.02,27.25,25.667683,1732100
23-01-2015,27.24,27.440001,27.209999,27.26,25.677103,1835700
26-01-2015,27.200001,27.290001,27.07,27.190001,25.61117,1179500
27-01-2015,27.040001,27.440001,27.040001,27.389999,25.799555,2233300
28-01-2015,27.4,27.41,26.68,26.700001,25.149622,1797500
29-01-2015,26.700001,26.790001,26.190001,26.58,25.036589,2561800
30-01-2015,26.18,26.77,26.049999,26.440001,24.904718,3414300
02-02-2015,26.65,27.200001,26.65,27.139999,25.56407,1980300
03-02-2015,27.440001,28.059999,27.379999,27.870001,26.25168,4998000
04-02-2015,27.57,27.67,27.23,27.35,25.761875,2442200
05-02-2015,27.530001,27.959999,27.52,27.889999,26.270517,2715400
06-02-2015,27.780001,27.99,27.5,27.610001,26.006777,1532200
09-02-2015,27.690001,28.01,27.690001,27.799999,26.185747,1471900
10-02-2015,27.790001,27.790001,27.42,27.6,25.997362,1989500
11-02-2015,27.4,27.6,27.35,27.52,25.922007,2144800
12-02-2015,27.85,28.01,27.76,27.98,26.355295,1593900
13-02-2015,28.17,28.280001,28.030001,28.08,26.44949,2050500
17-02-2015,28.209999,28.459999,28.059999,28.370001,26.722651,963300
18-02-2015,28.110001,28.18,27.940001,28.059999,26.430649,1445600
19-02-2015,27.719999,27.91,27.620001,27.83,26.214003,1191100
20-02-2015,27.860001,27.9,27.67,27.709999,26.100971,1173800
23-02-2015,27.66,27.809999,27.549999,27.709999,26.100971,2517200
24-02-2015,27.690001,27.91,27.59,27.870001,26.25168,2584900
25-02-2015,28.059999,28.190001,27.959999,28.15,26.515423,945000
26-02-2015,28.07,28.219999,27.950001,27.959999,26.336454,987100
27-02-2015,27.99,28.25,27.99,28.02,26.392971,1369700
02-03-2015,27.969999,28.049999,27.870001,28.030001,26.402395,1098900
03-03-2015,28.120001,28.129999,27.84,27.870001,26.25168,808400
04-03-2015,27.719999,27.940001,27.59,27.889999,26.270517,1076200
05-03-2015,27.870001,28,27.75,27.75,26.138649,1043700
06-03-2015,27.530001,27.67,27.200001,27.27,25.686522,1441600
09-03-2015,27.33,27.389999,27.16,27.16,25.582909,1154200
10-03-2015,26.969999,27,26.58,26.59,25.046009,1535500
11-03-2015,26.6,26.73,26.49,26.6,25.055428,1487700
12-03-2015,26.9,26.950001,26.77,26.790001,25.234396,2049800
13-03-2015,26.690001,26.690001,26.280001,26.559999,25.01775,3360300
16-03-2015,26.639999,26.98,26.58,26.9,25.338007,2505300
17-03-2015,26.77,26.99,26.620001,26.93,25.366266,1797000
18-03-2015,26.82,27.620001,26.73,27.51,25.912586,3492800
